"","name_pl","currency_pl","isin_pl","fiscal_period_pl","fiscal_year_pl","report_date_pl","publish_date_pl","restated_pl","ttm_pl","value_check_pl","data_model_pl","revenue","operating_expenses","other_operating_expense","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adjusted","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_including_minority_interest","net_income","net_income_available_to_common_shareholders","year_q","inflation.x","unemployment.x","gdp_growth.x","name_bs","currency_bs","isin_bs","fiscal_period_bs","fiscal_year_bs","report_date_bs","publish_date_bs","restated_bs","ttm_bs","value_check_bs","data_model_bs","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","unbilled_revenues","inventories","raw_materials","work_in_process","finished_goods","other_inventory","other_short_term_assets","derivative_hedging_assets_short_term","assets_held_for_sale","deferred_tax_assets_short_term","income_taxes_receivable","discontinued_operations_short_term","miscellaneous_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","long_term_investments","long_term_marketable_securities","long_term_receivables","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","derivative_hedging_assets_long_term","discontinued_operations_long_term","investments_in_affiliates","miscellaneous_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","short_term_borrowings","short_term_capital_leases","current_portion_of_long_term_debt","other_short_term_liabilities","deferred_revenue_short_term","liabilities_from_derivatives_hedging_short_term","deferred_tax_liabilities_short_term","liabilities_from_discontinued_operations_short_term","miscellaneous_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","long_term_capital_leases","other_long_term_liabilities","accrued_liabilities","pension_liabilities","pensions","other_post_retirement_benefits","deferred_compensation","deferred_revenue_long_term","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","liabilities_from_discontinued_operations_long_term","miscellaneous_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","common_stock","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest","total_equity","total_liabilities_equity","inflation.y","unemployment.y","gdp_growth.y","YQ","p","d"
"1","MCDONALDS CORP","USD","US5801351017","Q2",2018,2018-06-30,2018-08-02,TRUE,FALSE,TRUE,0,5353900000,-477200000,64900000,2262300000,-244200000,-240200000,-4000000,2018100000,2018100000,-521800000,1496300000,1496300000,1496300000,1496300000,"2018_Q2",NA,NA,NA,"MCDONALDS CORP","USD","US5801351017","Q2",2018,2018-06-30,2018-08-02,TRUE,FALSE,TRUE,0,1623500000,1623500000,NA,2217200000,NA,NA,NA,49600000,NA,NA,NA,NA,465300000,NA,NA,NA,NA,NA,NA,4355600000,22361200000,36577300000,-14216100000,NA,NA,NA,NA,5991600000,NA,2347200000,NA,NA,NA,NA,1127600000,2516800000,28352800000,32708400000,2678100000,917900000,490300000,1033500000,292200000,NA,NA,292200000,NA,NA,NA,NA,NA,NA,2970300000,30687700000,NA,NA,4901400000,NA,NA,NA,NA,NA,NA,1173100000,NA,NA,3728300000,35589100000,38559400000,0,16600000,NA,-59734500000,49106700000,-2435000000,-5851000000,NA,-5851000000,32708400000,NA,NA,NA,"2018_Q3",136.33873015873,"Down"
"2","MCDONALDS CORP","USD","US5801351017","Q3",2018,2018-09-30,2018-11-01,TRUE,FALSE,TRUE,0,5369400000,-404400000,110800000,2417700000,-259000000,-250100000,-8900000,2158700000,2158700000,-521400000,1637300000,1637300000,1637300000,1637300000,"2018_Q3",4.26,5.07,1.16,"MCDONALDS CORP","USD","US5801351017","Q3",2018,2018-09-30,2018-11-01,TRUE,FALSE,TRUE,0,2574500000,2574500000,NA,2266800000,NA,NA,NA,41900000,NA,NA,NA,NA,669900000,NA,NA,NA,NA,NA,NA,5553100000,22613600000,36946400000,-14332800000,NA,NA,NA,NA,5887000000,NA,2345000000,NA,NA,NA,NA,1135500000,2406500000,28500600000,34053700000,3626700000,932800000,416400000,1074800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3626700000,31895200000,NA,NA,5324400000,NA,NA,NA,NA,NA,NA,1201800000,NA,NA,4122600000,37219600000,40846300000,0,16600000,NA,-60634300000,49076200000,-2508300000,-6792600000,NA,-6792600000,34053700000,4.26,5.07,1.16,"2018_Q4",151.806984126984,"Up"
"3","MCDONALDS CORP","USD","US5801351017","Q4",2018,2018-12-31,2019-02-22,TRUE,FALSE,TRUE,0,5395700000,-3104100000,-4479700000,1999500000,-248100000,-254100000,6000000,1751400000,1751400000,-336100000,1415300000,1415300000,1415300000,1415300000,"2018_Q4",4.59,5.67,4.59,"MCDONALDS CORP","USD","US5801351017","Q4",2018,2018-12-31,2019-02-22,TRUE,FALSE,TRUE,0,866000000,866000000,NA,2441500000,NA,NA,NA,51100000,NA,NA,NA,NA,694600000,NA,NA,NA,NA,NA,NA,4053200000,22842700000,37193600000,-14350900000,NA,NA,NA,NA,5915300000,NA,2331500000,NA,NA,NA,NA,1202800000,2381000000,28758000000,32811200000,2973500000,1207900000,482000000,986600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2973500000,31075300000,NA,NA,5020800000,NA,NA,NA,NA,NA,NA,1215500000,NA,NA,3805300000,36096100000,39069600000,0,16600000,NA,-61528500000,50487000000,-2609500000,-6258400000,NA,-6258400000,32811200000,4.59,5.67,4.59,"2019_Q1",156.35131147541,"Up"
"4","MCDONALDS CORP","USD","US5801351017","Q1",2019,2019-03-31,2019-05-08,TRUE,FALSE,TRUE,0,4955600000,-442300000,56800000,2094000000,-262700000,-274100000,11400000,1831300000,1831300000,-502900000,1328400000,1328400000,1328400000,1328400000,"2019_Q1",4.79,5.02,1.67,"MCDONALDS CORP","USD","US5801351017","Q1",2019,2019-03-31,2019-05-08,TRUE,FALSE,TRUE,0,2289100000,2289100000,NA,1992700000,NA,NA,NA,40800000,NA,NA,NA,NA,641800000,NA,NA,NA,NA,NA,NA,4964400000,23283500000,37774000000,-14490500000,NA,NA,NA,NA,18218700000,NA,2317800000,NA,NA,NA,NA,1190200000,14710700000,41502200000,46466600000,2611700000,823600000,592100000,891200000,NA,NA,NA,NA,767900000,NA,NA,NA,NA,767900000,3379600000,32892000000,NA,NA,16745900000,NA,NA,NA,NA,NA,NA,1331000000,NA,NA,15414900000,49637900000,53017500000,0,16600000,NA,-62414500000,50928600000,-2520100000,-6550900000,NA,-6550900000,46466600000,4.79,5.02,1.67,"2019_Q2",171.677301587302,"Up"
"5","MCDONALDS CORP","USD","US5801351017","Q2",2019,2019-06-30,2019-08-06,TRUE,FALSE,TRUE,0,5341300000,-555600000,-22500000,2273900000,-266100000,-284200000,18100000,2007800000,2007800000,-490900000,1516900000,1516900000,1516900000,1516900000,"2019_Q2",NA,NA,NA,"MCDONALDS CORP","USD","US5801351017","Q2",2019,2019-06-30,2019-08-06,TRUE,FALSE,TRUE,0,1134500000,1134500000,NA,2055000000,NA,NA,NA,44200000,NA,NA,NA,NA,681700000,NA,NA,NA,NA,NA,NA,3915400000,23504200000,38192400000,-14688200000,NA,NA,NA,NA,18780200000,NA,2580500000,NA,NA,NA,NA,1227300000,14972400000,42284400000,46199800000,2496600000,796800000,508700000,935000000,NA,NA,NA,NA,743400000,NA,NA,NA,NA,743400000,3240000000,32654300000,NA,NA,17114300000,NA,NA,NA,NA,NA,NA,1358300000,NA,NA,15756000000,49768600000,53008600000,0,16600000,NA,-63440800000,51562500000,-2496600000,-6808800000,NA,-6808800000,46199800000,NA,NA,NA,"2019_Q3",186.85171875,"Up"
"6","MCDONALDS CORP","USD","US5801351017","Q3",2019,2019-09-30,2019-11-04,TRUE,FALSE,TRUE,0,5502300000,-565800000,-496800000,2409300000,-257100000,-280600000,23500000,2152200000,2152200000,-544300000,1607900000,1607900000,1607900000,1607900000,"2019_Q3",1.66,5.21,2.24,"MCDONALDS CORP","USD","US5801351017","Q3",2019,2019-09-30,2019-11-04,TRUE,FALSE,TRUE,0,1177300000,1177300000,NA,2005300000,NA,NA,NA,42600000,NA,NA,NA,NA,379700000,NA,NA,NA,NA,NA,NA,3604900000,23325300000,37748000000,-14422700000,NA,NA,NA,NA,18874800000,NA,2541800000,NA,NA,NA,NA,1245400000,15087600000,42200100000,45805000000,3572300000,849500000,526000000,948800000,NA,NA,NA,NA,703300000,NA,NA,NA,NA,703300000,4275600000,32850100000,NA,NA,17278500000,NA,NA,NA,NA,NA,NA,1560500000,NA,NA,15718000000,50128600000,54404200000,0,16600000,NA,-64931900000,51359500000,-2663100000,-8599200000,NA,-8599200000,45805000000,1.66,5.21,2.24,"2019_Q4",173.88015625,"Down"
"7","MCDONALDS CORP","USD","US5801351017","Q4",2019,2019-12-31,2020-02-26,TRUE,FALSE,TRUE,0,5428200000,-2708600000,-2639700000,2292600000,-265800000,-283000000,17200000,2026800000,2026800000,-454600000,1572200000,1572200000,1572200000,1572200000,"2019_Q4",4.62,4.98,1.61,"MCDONALDS CORP","USD","US5801351017","Q4",2019,2019-12-31,2020-02-26,TRUE,FALSE,TRUE,0,898500000,898500000,NA,2224200000,NA,NA,NA,50200000,NA,NA,NA,NA,385000000,NA,NA,NA,NA,NA,NA,3557900000,24160000000,39050900000,-14890900000,NA,NA,NA,NA,19792900000,NA,2677400000,NA,NA,NA,NA,1270300000,15845200000,43952900000,47510800000,2940900000,988200000,579200000,1035700000,59100000,NA,NA,59100000,621000000,NA,NA,NA,NA,621000000,3621000000,34118100000,NA,NA,17982000000,NA,NA,NA,NA,NA,NA,1318100000,NA,NA,16663900000,52100100000,55721100000,NA,16600000,NA,-66328600000,52930500000,-2482700000,-8210300000,NA,-8210300000,47510800000,4.62,4.98,1.61,"2020_Q1",173.807419354839,"Down"
"8","MCDONALDS CORP","USD","US5801351017","Q1",2020,2020-03-31,2020-05-07,TRUE,FALSE,TRUE,0,4714400000,-2466599999,-2393099999,1693600001,-248700000,-280000000,31300000,1444900001,1444900001,-338000000,1106900001,1106900001,1106900001,1106900001,"2020_Q1",3.43,5.47,2.41,"MCDONALDS CORP","USD","US5801351017","Q1",2020,2020-03-31,2020-05-07,TRUE,FALSE,TRUE,0,5379800000,5379800000,NA,1695300000,NA,NA,NA,39100000,NA,NA,NA,NA,442700000,NA,NA,NA,NA,NA,NA,7556900000,23595900000,38351500000,-14755600000,NA,NA,NA,NA,19415200000,NA,2627400000,NA,NA,NA,NA,1276800000,15511000000,43011100000,50568000000,2193200000,671900000,443500000,769800000,1106000000,1000000000,NA,106000000,688600000,NA,NA,NA,NA,688600000,3987800000,38046600000,NA,NA,17827000000,NA,NA,NA,NA,NA,NA,1649700000,NA,NA,16177300000,55873600000,59861400000,0,16600000,NA,-67133800000,53106700000,-2996400000,-9293400000,NA,-9293400000,50568000000,3.43,5.47,2.41,"2020_Q2",162.859365079365,"Down"
"9","MCDONALDS CORP","USD","US5801351017","Q2",2020,2020-06-30,2020-08-10,TRUE,FALSE,TRUE,0,3761500000,-2275900000,-2204900000,961100000,-312400000,-319100000,6700000,648700000,648700000,-164900000,483800000,483800000,483800000,483800000,"2020_Q2",NA,NA,NA,"MCDONALDS CORP","USD","US5801351017","Q2",2020,2020-06-30,2020-08-10,TRUE,FALSE,TRUE,0,3255700000,3255700000,NA,2852600000,NA,NA,NA,42600000,NA,NA,NA,NA,458500000,NA,NA,NA,NA,NA,NA,6609400000,23830000000,39137400000,-15307400000,NA,NA,NA,NA,19499500000,NA,2671900000,NA,NA,NA,NA,1278100000,15549500000,43329500000,49938900000,2478300000,538400000,550200000,1073600000,4086600000,1000000000,NA,3086600000,681200000,NA,NA,NA,NA,681200000,7246100000,34675600000,NA,NA,17480300000,NA,NA,NA,NA,NA,NA,1549200000,NA,NA,15931100000,52155900000,59402000000,0,16600000,NA,-67114200000,52660800000,-2806300000,-9463100000,NA,-9463100000,49938900000,NA,NA,NA,"2020_Q3",183.5003125,"Up"
"10","MCDONALDS CORP","USD","US5801351017","Q3",2020,2020-09-30,2020-11-09,TRUE,FALSE,TRUE,0,5418100000,-2323800000,-2248000000,2526400000,-309300000,-310100000,800000,2217100000,2217100000,-454500000,1762600000,1762600000,1762600000,1762600000,"2020_Q3",3.1,5.36,2.3,"MCDONALDS CORP","USD","US5801351017","Q3",2020,2020-09-30,2020-11-09,TRUE,FALSE,TRUE,0,3683800000,3683800000,NA,2391800000,NA,NA,NA,44200000,NA,NA,NA,NA,616300000,NA,NA,NA,NA,NA,NA,6736100000,24218300000,40088600000,-15870300000,NA,NA,NA,NA,19744900000,NA,2715800000,NA,NA,NA,NA,1283300000,15745800000,43963200000,50699300000,2873200000,689000000,620600000,1223400000,2688800000,NA,NA,2688800000,718200000,NA,NA,NA,NA,718200000,6280200000,35143400000,NA,NA,17747800000,NA,NA,NA,NA,NA,NA,1423200000,NA,NA,16324600000,52891200000,59171400000,NA,16600000,NA,-67077100000,53492500000,-2758800000,-8472100000,NA,-8472100000,50699300000,3.1,5.36,2.3,"2020_Q4",195.489375,"Up"
